[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001386s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Run CheckLang Behavior [ RunTime:0.002283s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003870s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.005397s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.005486s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.004139s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.003883s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.004897s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.004788s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 80 行.
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 39 行.
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.004957s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 43 行.
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id= LIMIT 1   [ RunTime:0.000209s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.004746s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000597s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.004677s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.061397s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.005361s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_template ] --START--
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.018527s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.018646s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_parse ] --START--
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.168357s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.168479s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_filter ] --START--
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.030188s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.017433s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.014958s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.001840s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.064797s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_end ] --START--
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.007948s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.008063s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=verify&m=verify&rand=1457516626 | INFO: Tag[ app_begin ] --START--
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=verify&m=verify&rand=1457516626 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001694s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=verify&m=verify&rand=1457516626 | INFO: Run CheckLang Behavior [ RunTime:0.002717s ]
[ 2016-03-09T17:43:46+08:00 ] /hz/index.php?a=verify&m=verify&rand=1457516626 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004680s ]
[ 2016-03-09T17:43:57+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ app_begin ] --START--
[ 2016-03-09T17:43:57+08:00 ] /hz/index.php?a=index&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001223s ]
[ 2016-03-09T17:43:57+08:00 ] /hz/index.php?a=index&m=index | INFO: Run CheckLang Behavior [ RunTime:0.002104s ]
[ 2016-03-09T17:43:57+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003512s ]
[ 2016-03-09T17:43:57+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.005748s ]
[ 2016-03-09T17:43:57+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.005679s ]
[ 2016-03-09T17:43:57+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.004272s ]
[ 2016-03-09T17:43:57+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.003862s ]
