[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001390s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | INFO: Run CheckLang Behavior [ RunTime:0.002571s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004228s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.019478s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.004881s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.004659s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.003403s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.003853s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.004195s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 80 行.
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 39 行.
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.032776s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 43 行.
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id= LIMIT 1   [ RunTime:0.000402s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.062984s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.009901s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.048638s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.000886s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.005321s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_template ] --START--
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.107225s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.107359s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_parse ] --START--
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.071233s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.071377s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_filter ] --START--
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.013501s ]
[ 2016-03-28T15:30:18+08:00 ] /hz/index.php?a=login&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.001374s ]
[ 2016-03-28T15:30:19+08:00 ] /hz/index.php?a=login&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000958s ]
[ 2016-03-28T15:30:19+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.001261s ]
[ 2016-03-28T15:30:19+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.017407s ]
[ 2016-03-28T15:30:19+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_end ] --START--
[ 2016-03-28T15:30:19+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.001046s ]
[ 2016-03-28T15:30:19+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.001143s ]
[ 2016-03-28T15:30:19+08:00 ] /hz/index.php?a=verify&m=verify&rand=1459150218 | INFO: Tag[ app_begin ] --START--
[ 2016-03-28T15:30:19+08:00 ] /hz/index.php?a=verify&m=verify&rand=1459150218 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001311s ]
[ 2016-03-28T15:30:19+08:00 ] /hz/index.php?a=verify&m=verify&rand=1459150218 | INFO: Run CheckLang Behavior [ RunTime:0.001996s ]
[ 2016-03-28T15:30:19+08:00 ] /hz/index.php?a=verify&m=verify&rand=1459150218 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003512s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001235s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Run CheckLang Behavior [ RunTime:0.002491s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003968s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.004809s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.004301s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.003415s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.003248s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.004765s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.004766s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 80 行.
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 39 行.
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.003940s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 43 行.
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id= LIMIT 1   [ RunTime:0.000318s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.003991s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000427s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.004076s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.000297s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.004278s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_template ] --START--
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.001393s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.001500s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_parse ] --START--
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.010652s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010775s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_filter ] --START--
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.000972s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.000932s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000832s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.000951s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003973s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_end ] --START--
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.000843s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.000942s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=verify&m=verify&rand=1459150230 | INFO: Tag[ app_begin ] --START--
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=verify&m=verify&rand=1459150230 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000938s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=verify&m=verify&rand=1459150230 | INFO: Run CheckLang Behavior [ RunTime:0.002041s ]
[ 2016-03-28T15:30:30+08:00 ] /hz/index.php?a=verify&m=verify&rand=1459150230 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003173s ]
[ 2016-03-28T15:30:40+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2016-03-28T15:30:40+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000822s ]
[ 2016-03-28T15:30:40+08:00 ] /hz/index.php?a=login&m=public | INFO: Run CheckLang Behavior [ RunTime:0.001874s ]
[ 2016-03-28T15:30:40+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002873s ]
[ 2016-03-28T15:30:40+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.013698s ]
[ 2016-03-28T15:30:40+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.004612s ]
[ 2016-03-28T15:30:40+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.003224s ]
[ 2016-03-28T15:30:40+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.003446s ]
[ 2016-03-28T15:30:40+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.003160s ]
[ 2016-03-28T15:30:40+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.005094s ]
