[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | SQL: SHOW COLUMNS FROM `sk_erweima` [ RunTime:0.003157s ]
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | SQL: SELECT COUNT(*) AS tp_count FROM `sk_erweima` LEFT JOIN sk_orders on sk_erweima.dingdan=sk_orders.order_id LEFT JOIN sk_role_store on storeid=openid WHERE ( `agentid` = 'oc4cpuE_IwrJflhyYx-QV3yXD3uo' ) AND ( `shenhe` = 1 ) LIMIT 1   [ RunTime:0.000636s ]
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | SQL: SELECT sk_erweima.* FROM `sk_erweima` LEFT JOIN sk_orders on sk_erweima.dingdan=sk_orders.order_id LEFT JOIN sk_role_store on storeid=openid WHERE ( `agentid` = 'oc4cpuE_IwrJflhyYx-QV3yXD3uo' ) AND ( `shenhe` = 1 ) LIMIT 0,20   [ RunTime:0.000969s ]
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | INFO: Tag[ view_template ] --START--
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | INFO: Run LocationTemplate Behavior [ RunTime:0.000718s ]
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | INFO: Tag[ view_template ] --END-- [ RunTime:0.000818s ]
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | INFO: Tag[ view_parse ] --START--
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | NOTIC: [8] Undefined variable: sub_menu 9354bdaba61aa89a5bed8c3560cccae5.php 第 38 行.
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | NOTIC: [8] Undefined variable: big_menu 9354bdaba61aa89a5bed8c3560cccae5.php 第 38 行.
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | NOTIC: [8] Undefined variable: openid 9354bdaba61aa89a5bed8c3560cccae5.php 第 104 行.
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | INFO: Run ParseTemplate Behavior [ RunTime:0.018864s ]
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018969s ]
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | INFO: Tag[ view_filter ] --START--
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | INFO: Run ContentReplace Behavior [ RunTime:0.000512s ]
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | INFO: Run TokenBuild Behavior [ RunTime:0.000567s ]
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000315s ]
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | INFO: Run ShowRuntime Behavior [ RunTime:0.000768s ]
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002434s ]
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | INFO: Tag[ view_end ] --START--
[ 2016-02-04T14:36:18+08:00 ] /hz/index.php?shenhe=1&dianpname=&dizhi=&agentid=oc4cpuE_IwrJflhyYx-QV3yXD3uo&m=dianpu&a=geren_dianpu&__hash__=39bae6017a5060f918deb8b440ce6bca_43afbe98e7675f580fe3d04d9725facc | INFO: Run ShowPageTrace Behavior [ RunTime:0.000477s ]
