[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001400s ]
[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | INFO: Run CheckLang Behavior [ RunTime:0.002924s ]
[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004550s ]
[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.009089s ]
[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.006091s ]
[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.004701s ]
[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.004650s ]
[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.005172s ]
[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.005555s ]
[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 80 行.
[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 39 行.
[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.052465s ]
[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 43 行.
[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id= LIMIT 1   [ RunTime:0.000222s ]
[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.077950s ]
[ 2016-03-18T14:07:22+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.196862s ]
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.131897s ]
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.018451s ]
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.005179s ]
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_template ] --START--
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.147280s ]
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.147407s ]
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_parse ] --START--
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.258995s ]
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.259129s ]
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_filter ] --START--
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.017019s ]
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.001421s ]
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000901s ]
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.001642s ]
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.021289s ]
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_end ] --START--
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.001336s ]
[ 2016-03-18T14:07:23+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.001433s ]
[ 2016-03-18T14:07:24+08:00 ] /hz/index.php?a=verify&m=verify&rand=1458281243 | INFO: Tag[ app_begin ] --START--
[ 2016-03-18T14:07:24+08:00 ] /hz/index.php?a=verify&m=verify&rand=1458281243 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002711s ]
[ 2016-03-18T14:07:24+08:00 ] /hz/index.php?a=verify&m=verify&rand=1458281243 | INFO: Run CheckLang Behavior [ RunTime:0.005059s ]
[ 2016-03-18T14:07:24+08:00 ] /hz/index.php?a=verify&m=verify&rand=1458281243 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008954s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ app_begin ] --START--
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001736s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | INFO: Run CheckLang Behavior [ RunTime:0.002901s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004863s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.006136s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.008100s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.005128s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.004469s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.004594s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.004668s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.004712s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id=8 LIMIT 1   [ RunTime:0.000334s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.005303s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000635s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.007052s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.000492s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ view_template ] --START--
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | INFO: Run LocationTemplate Behavior [ RunTime:0.064248s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.064401s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ view_parse ] --START--
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | NOTIC: [8] Undefined variable: lang 61acf2961088e1c8be817cc708b9bd0a.php 第 38 行.
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | INFO: Run ParseTemplate Behavior [ RunTime:0.057477s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.057610s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ view_filter ] --START--
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | INFO: Run ContentReplace Behavior [ RunTime:0.001403s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | INFO: Run TokenBuild Behavior [ RunTime:0.001547s ]
[ 2016-03-18T14:07:35+08:00 ] /hz/index.php?a=index&m=index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001254s ]
