[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000739s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Run CheckLang Behavior [ RunTime:0.001695s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002658s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.003764s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.004424s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.003160s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.002767s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.002855s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.003190s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 80 行.
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 39 行.
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.019077s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 43 行.
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id= LIMIT 1   [ RunTime:0.000199s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.014476s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000803s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.034004s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.008986s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.003639s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_template ] --START--
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.008727s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.008837s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_parse ] --START--
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.035372s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.035482s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_filter ] --START--
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.001026s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.001091s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000866s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.001101s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004336s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_end ] --START--
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.001055s ]
[ 2016-03-11T10:16:14+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.001148s ]
[ 2016-03-11T10:16:15+08:00 ] /hz/index.php?a=verify&m=verify&rand=1457662574 | INFO: Tag[ app_begin ] --START--
[ 2016-03-11T10:16:15+08:00 ] /hz/index.php?a=verify&m=verify&rand=1457662574 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000908s ]
[ 2016-03-11T10:16:15+08:00 ] /hz/index.php?a=verify&m=verify&rand=1457662574 | INFO: Run CheckLang Behavior [ RunTime:0.001674s ]
[ 2016-03-11T10:16:15+08:00 ] /hz/index.php?a=verify&m=verify&rand=1457662574 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002783s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ app_begin ] --START--
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000707s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Run CheckLang Behavior [ RunTime:0.001447s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002326s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.004049s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.003956s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.003034s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.003237s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.003367s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.003405s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.003318s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id=8 LIMIT 1   [ RunTime:0.000368s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.003728s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000443s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.003952s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.000338s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ view_template ] --START--
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Run LocationTemplate Behavior [ RunTime:0.001213s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001310s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ view_parse ] --START--
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | NOTIC: [8] Undefined variable: lang 61acf2961088e1c8be817cc708b9bd0a.php 第 38 行.
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Run ParseTemplate Behavior [ RunTime:0.040700s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.040843s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ view_filter ] --START--
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Run ContentReplace Behavior [ RunTime:0.000824s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Run TokenBuild Behavior [ RunTime:0.000631s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000424s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Run ShowRuntime Behavior [ RunTime:0.000764s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002897s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ view_end ] --START--
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000595s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000684s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=main&m=public | INFO: Tag[ app_begin ] --START--
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=main&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000808s ]
[ 2016-03-11T10:16:26+08:00 ] /hz/index.php?a=main&m=public | INFO: Run CheckLang Behavior [ RunTime:0.001407s ]
